Total sections: 396

Text/Contents.xhtml:   目　录 第一卷 第二版出版说明 本书出版的说明 第一次国内革命战争时期 中国社会各阶级的分析 湖南农民运动考察报告 
Text/Preface01.xhtml:   第二版出版说明 《毛泽东选集》第一至四卷，在五十年代初和六十年代初先后出版，距今已有三四十年。现在，根据中共中央的决
Text/Preface02.xhtml:   本书出版的说明 这部选集，包括了毛泽东同志在中国革命各个时期中的重要著作。几年前各地方曾经出过几种不同版本的《毛泽东
Text/Preface03.xhtml:   出版说明 伟大的领袖和导师毛泽东主席的著作，是马克思列宁主义的不朽贡献。根据中共中央的决定，《毛泽东选集》第五卷现在
Text/Preface04.xhtml:   出版说明 伟大的领袖和导师毛泽东主席的著作，是马克思列宁主义的不朽贡献。根据中共中央出版毛选和毛泽东全集的决定 〔1
Text/Preface05.xhtml:   静火有言 胡锦涛 〔1〕 评价毛泽东“中国出了个毛泽东，这是中国共产党的骄傲，是中国人民的骄傲，是中华民族的骄傲。在
Text/Preface06.xhtml:   出版说明 伟大的领袖和导师毛泽东主席的著作，是马克思列宁主义的不朽贡献。根据中共中央出版毛选和毛泽东全集的决定 〔1
Text/Preface07.xhtml:   静火有言 （一） 胡锦涛 〔1〕 曾代表中央表态，“在任何时候任何情况下，我们都要始终高举毛泽东思想的伟大旗帜。毛泽
Text/Section0101.xhtml:   中国社会各阶级的分析 * （一九二五年十二月一日） 谁是我们的敌人？谁是我们的朋友？这个问题是革命的首要问题。中国过
Text/Section0102.xhtml:   湖南农民运动考察报告 * （一九二七年三月） 农民问题的严重性 我这回到湖南 〔1〕 ，实地考察了湘潭、湘乡、衡山、
Text/Section0201.xhtml:   中国的红色政权为什么 能够存在？ * （一九二八年十月五日） 一　国内的政治状况 现在国民党新军阀的统治，依然是城市
Text/Section0202.xhtml:   井冈山的斗争 * （一九二八年十一月二十五日） 湘赣边界的割据和八月失败 一国之内，在四围白色政权的包围中间，产生一
Text/Section0203.xhtml:   关于纠正党内的错误思想 * （一九二九年十二月） 红军第四军的共产党内存在着各种非无产阶级的思想，这对于执行党的正确
Text/Section0204.xhtml:   星星之火，可以燎原 * （一九三○年一月五日） 在对于时局的估量和伴随而来的我们的行动问题上，我们党内有一部分同志还
Text/Section0205.xhtml:   反对本本主义 * （一九三○年五月） 一　没有调查，没有发言权 〔1〕 你对于某个问题没有调查，就停止你对于某个问题
Text/Section0206.xhtml:   必须注意经济工作 * （一九三三年八月十二日） 革命战争的激烈发展，要求我们动员群众，立即开展经济战线上的运动，进行
Text/Section0207.xhtml:   怎样分析农村阶级 * （一九三三年十月） 一　地主 占有土地，自己不劳动，或只有附带的劳动，而靠剥削农民为生的，叫做
Text/Section0208.xhtml:   我们的经济政策 * （一九三四年一月） 只有最无耻的国民党军阀，才会在他们自己统治的区域内弄到差不多民穷财尽的地步，
Text/Section0209.xhtml:   关心群众生活，注意工作方法 * （一九三四年一月二十七日） 有两个问题，同志们在讨论中没有着重注意，我觉得应该提出来
Text/Section0210.xhtml:   论反对日本帝国主义的策略 * （一九三五年十二月二十七日） 目前政治形势的特点 同志们！目前的政治形势已经发生了很大
Text/Section0211.xhtml:   中国革命战争的战略问题 * （一九三六年十二月） 第一章　如何研究战争 第一节　战争规律是发展的 战争的规律——这是
Text/Section0212.xhtml:   关于蒋介石声明的声明 （一九三六年十二月二十八日） 蒋介石氏在西安接受张学良杨虎城二将军和西北人民的抗日的要求 〔1
Text/Section0213.xhtml:   中国共产党在抗日时期的任务 * （一九三七年五月三日） 民族矛盾和国内矛盾的 目前发展阶段 （一）由于中日矛盾成为主
Text/Section0214.xhtml:   为争取千百万群众 进入抗日民族统一战线而斗争 * （一九三七年五月八日） 同志们！对于我的报告——《中国共产党在抗日
Text/Section0215.xhtml:   实践论 * 论认识和实践的关系 ——知和行的关系 （一九三七年七月） 马克思以前的唯物论，离开人的社会性，离开人的历
Text/Section0216.xhtml:   矛盾论 * （一九三七年八月） 事物的矛盾法则，即对立统一的法则，是唯物辩证法的最根本的法则。列宁说：“就本来的意义
Text/Section0301.xhtml:   反对日本进攻的方针、 办法和前途 * （一九三七年七月二十三日） 一　两种方针 中国共产党中央委员会于卢沟桥事变 〔
Text/Section0302.xhtml:   为动员一切力量 争取抗战胜利而斗争 * （一九三七年八月二十五日） （甲）七月七日卢沟桥事变，是日本帝国主义大举进攻
Text/Section0303.xhtml:   反对自由主义 （一九三七年九月七日） 我们主张积极的思想斗争，因为它是达到党内和革命团体内的团结使之利于战斗的武器。
Text/Section0304.xhtml:   国共合作成立后的迫切任务 （一九三七年九月二十九日） 还在一九三三年，中国共产党就发表了在停止进攻红军、给民众以自由
Text/Section0305.xhtml:   和英国记者贝特兰的谈话 （一九三七年十月二十五日） 中国共产党和抗日战争 贝问：中国共产党在中日战争爆发前后，有什么
Text/Section0306.xhtml:   上海太原失陷以后 抗日战争的形势和任务 * （一九三七年十一月十二日） 一　目前形势是处在片面抗战 到全面抗战的过渡
Text/Section0307.xhtml:   陕甘宁边区政府、 第八路军后方留守处布告 * （一九三八年五月十五日） 为布告事：自卢沟桥事变以来，我全国爱国同胞，
Text/Section0308.xhtml:   抗日游击战争的战略问题 * （一九三八年五月） 第一章　为什么提起游击战争 的战略问题 抗日战争中，正规战争是主要的
Text/Section0309.xhtml:   论持久战 * （一九三八年五月） 问题的提起 （一）伟大抗日战争的一周年纪念，七月七日，快要到了。全民族的力量团结起
Text/Section0310.xhtml:   中国共产党在民族战争中的地位 * （一九三八年十月十四日） 同志们！我们有一个光明的前途；我们必须战胜日本帝国主义，
Text/Section0311.xhtml:   统一战线中的独立自主问题 * （一九三八年十一月五日） 帮助和让步应该是积极的， 不应该是消极的 为了长期合作，统一
Text/Section0312.xhtml:   战争和战略问题 * （一九三八年十一月六日） 一　中国的特点和革命战争 革命的中心任务和最高形式是武装夺取政权，是战
Text/Section0313.xhtml:   五四运动 * （一九三九年五月一日） 二十年前的五四运动 〔1〕 ，表现中国反帝反封建的资产阶级民主革命已经发展到了
Text/Section0314.xhtml:   青年运动的方向 * （一九三九年五月四日） 今天是五四运动 〔1〕 的二十周年纪念日，我们延安的全体青年在这里开这个
Text/Section0315.xhtml:   反对投降活动 * （一九三九年六月三十日） 中华民族在日本侵略者面前，历来存在的劈头第一个大问题，就是战不战的问题。
Text/Section0316.xhtml:   必须制裁反动派 * （一九三九年八月一日） 今天是八月一日，我们在这里开追悼大会。为什么要开这样的追悼会呢？因为反动
